Id,start,end,para,name,timestamp,actor,type,text
26132525,159,160,OPT_ID_1162,opt1j0dqRQC9HvJGIF66nxIkhMA6S5PybEN,1582184090699,au,clear-superscript,a
26132527,159,160,OPT_ID_1162,optbYEeMMG9iXy5PkMO9DhKtMxrZk5ZLcks,1582184090719,au,clear-superscript,a
26132529,159,160,OPT_ID_1162,optBjJMGPfIO2PVtRZT9sEyfZ8t7FXOPE9G,1582184090749,au,clear-superscript,a
26132531,159,160,OPT_ID_1162,optj3GkSHQpeYo0nGAFSN7tNTeORgIGkGF1,1582184090779,au,clear-superscript,a
26132533,159,160,OPT_ID_1162,optT8iJmVmwn33LrNJOctjntLmcXtbDMfO4,1582184090799,au,clear-superscript,a
26132535,159,160,OPT_ID_1162,optN736IAtEkNfByBhky8tPSHQSekxVdpSR,1582184090819,au,clear-superscript,a
26132537,159,160,OPT_ID_1162,optg1YxsfuK37QSz90Fe4nCESUnj7mYcAMF,1582184090839,au,clear-superscript,a
26132539,159,160,OPT_ID_1162,optg5sZga6BiW00wPeh1TNPJUfFEpmk4dIq,1582184090859,au,clear-superscript,a
26132541,159,160,OPT_ID_1162,optQ0vVNleuqTP3E6d5YWSaeW7pSaJmRLhx,1582184090879,au,clear-superscript,a
26132543,159,160,OPT_ID_1162,optjryc5KOkd62R8FXorc7mp6FNdW73fRPH,1582184090899,au,clear-superscript,a
26132545,159,160,OPT_ID_1162,optDx0IasQVn8qCn4GggKnMzlp23rVPWEAO,1582184090919,au,clear-superscript,a
26132547,159,160,OPT_ID_1162,optA5LqxDjVCbhozXcra4F1BQDPDP2yuVg4,1582184090939,au,clear-superscript,a
26132551,159,160,OPT_ID_1162,optTFH056nPvd6INYhsG4wJNbMcjEKZWYcQ,1582184090979,au,clear-superscript,a
26132553,159,160,OPT_ID_1162,optwPdlL1WMkKf00mkhoHx8FAeUbRpcPTkJ,1582184090999,au,clear-superscript,a
26132556,159,160,OPT_ID_1162,optgGW28Mu9pwVTqbHBpp0lDAOuLFy5suaC,1582184091019,au,clear-superscript,a
26132558,159,160,OPT_ID_1162,optSdP2bUyNnJaspjKkAKwFF8hcJjLuNE4y,1582184091039,au,clear-superscript,a
26132560,159,160,OPT_ID_1162,optktWjn9ngczbKRDAsYV32elQdHkNWT4qf,1582184091059,au,clear-superscript,a
26132562,159,160,OPT_ID_1162,optaIVpYox2tADM78x3xTSzEAtkX9aXdmDO,1582184091079,au,clear-superscript,a
26132564,159,160,OPT_ID_1162,optJfvgIse3ZhKHGv6ttzUgwDXob3dg48JK,1582184091099,au,clear-superscript,a
26132566,159,160,OPT_ID_1162,optYAqOHMMpvBpKx9DYnGMDDwykQc05fH0c,1582184091119,au,clear-superscript,a
26132568,159,160,OPT_ID_1162,optdC1Kp5Y2HeuXtX8bKAqwl00hHqvhpJo9,1582184091139,au,clear-superscript,a
26132570,159,160,OPT_ID_1162,optJLOsXzGvh5LFXAgB95Ttg9AMzMBIK7we,1582184091169,au,clear-superscript,a
26132572,159,160,OPT_ID_1162,optZyA7uTuTqiGSWuUFt09Fsg43yCk8kw8L,1582184091209,au,clear-superscript,a
26132574,159,160,OPT_ID_1162,opt2qTbyOWP6vAw4x9spZxY14R7cqckLrnN,1582184091229,au,clear-superscript,a
26132576,159,160,OPT_ID_1162,optciwX3nWlbD1z0wrw1XtQUBAsEO55d5J6,1582184091249,au,clear-superscript,a
26132578,159,160,OPT_ID_1162,optt22ZPq1XWQW8xdQ4j3b1w8TEZ5In0vTP,1582184091269,au,clear-superscript,a
26132580,159,160,OPT_ID_1162,optMbMNfFEg14CKfGDM9ddjdzdQYgY6hgDB,1582184091289,au,clear-superscript,a
26132582,159,160,OPT_ID_1162,optxrKxtV2vZAb1oBAHWNKFCYugDmJrjpQH,1582184091309,au,clear-superscript,a
26132584,159,160,OPT_ID_1162,optjQQ7Hwyb9sD3FFJPpv6tt0VLUoclynzo,1582184091329,au,clear-superscript,a
26132586,159,160,OPT_ID_1162,optzjLL1ryKP8NtN2SzrkpKUrP3xigajzkc,1582184091349,au,clear-superscript,a
26132588,159,160,OPT_ID_1162,optRSWrTy3HHR2xBU5RAGggV6lQvPJ1gkFa,1582184091379,au,clear-superscript,a
26132589,159,160,OPT_ID_1162,opt6f0OJdYSDB4hrMJYsaBl7TzfMFwGgnUF,1582184091429,au,clear-superscript,a
