type_id,data,id
10,"{""start"":156,""end"":157,""prefix"":""e\u2212(\u03c4a+\u03c4c)\/"",""text"":""\u03bc"",""suffix"":""\u03c4a\u00a0+\u00a0\u03c4c. T"",""para"":""OPT_ID_1162"",""name"":""optMDKjZ9r9GTK3EIeWpqB3Ry8YqagVEwZQ"",""timestamp"":1581345338190,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""superscript\"">\u03bc<\/span><\/span>""}",24399017
10,"{""start"":310,""end"":315,""prefix"":"" 2.14\u00d710\u22125"",""text"":"" with"",""suffix"":"", so we ca"",""para"":""OPT_ID_1162"",""name"":""optagvQReWNyzC2PZVSnJFaPefgU9HRebwW"",""timestamp"":1581862842950,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""superscript\""> with<\/span><\/span>""}",25424939
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""a"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optSHNSih3zKebFRQMG3yovrUX4T2H7rSkN"",""timestamp"":1581864330629,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">a<\/span><\/span><\/span>""}",25425740
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""a"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""opteXNjO3FwbOwbbRIiY4pkDfbaLMIE1QLL"",""timestamp"":1581864347980,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">a<\/span><\/span><\/span>""}",25425744
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""a"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optlvHrvfrlY1vChBxp0PiNaU0laUwc0ePK"",""timestamp"":1581864350579,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">a<\/span><\/span><\/span>""}",25425754
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""c"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optUjDKezbSXsYsZLr7KtyjZ2Dt2hxpfiZT"",""timestamp"":1581864410059,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">c<\/span><\/span><\/span>""}",25425777
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""a"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optgnPOzpGKU8E9W2kdBHOhwrYRZBd1npSE"",""timestamp"":1581865141019,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">a<\/span><\/span><\/span>""}",25426113
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""c"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optg3ARtiESk9dkjgwZK6I27Alb7yuEOpnY"",""timestamp"":1581865141169,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">c<\/span><\/span><\/span>""}",25426114
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""a"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""optnNww1TN8YH1TOFpUBtg5eCPki78AzhRW"",""timestamp"":1581996337679,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">a<\/span><\/span><\/span>""}",25602365
10,"{""start"":159,""end"":160,""prefix"":""So\u00a0\u00d7\u00a0[e\u2212(\u03c4"",""text"":""c"",""suffix"":""+\u03c4c)\/\u03bc.+ B"",""para"":""OPT_ID_1162"",""name"":""opt1fWzjLVfwbj1pEWT71xyryzmwmv9PZYT"",""timestamp"":1581996337869,""actor"":""au"",""type"":""clear-superscript"",""html"":""<span data-format=\""insert\""><span data-format=\""italic\""><span data-format=\""superscript\"">c<\/span><\/span><\/span>""}",25602366
